name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problem_Severity,Household_Income
"Arlington County, Virginia",89525.0,1296.0,1.0,05000US51013,51,013,T,All,All,All
"Arlington County, Virginia",45710.0,1326.0,2.0,05000US51013,51,013,S,Owner,All,All
"Arlington County, Virginia",85.0,73.0,3.0,05000US51013,51,013,S,Owner,Substandard,All
"Arlington County, Virginia",0.0,161.0,4.0,05000US51013,51,013,D,Owner,Substandard,<=30% AMI
"Arlington County, Virginia",0.0,161.0,5.0,05000US51013,51,013,D,Owner,Substandard,30.1-50% AMI
"Arlington County, Virginia",20.0,36.0,6.0,05000US51013,51,013,D,Owner,Substandard,50.1-60% AMI
"Arlington County, Virginia",20.0,37.0,7.0,05000US51013,51,013,D,Owner,Substandard,60.1-80% AMI
"Arlington County, Virginia",0.0,161.0,8.0,05000US51013,51,013,D,Owner,Substandard,80.1-95% AMI
"Arlington County, Virginia",45.0,53.0,9.0,05000US51013,51,013,D,Owner,Substandard,>95% AMI
"Arlington County, Virginia",115.0,84.0,10.0,05000US51013,51,013,S,Owner,Severely overcrowded,All
"Arlington County, Virginia",10.0,20.0,11.0,05000US51013,51,013,D,Owner,Severely overcrowded,<=30% AMI
"Arlington County, Virginia",0.0,161.0,12.0,05000US51013,51,013,D,Owner,Severely overcrowded,30.1-50% AMI
"Arlington County, Virginia",0.0,161.0,13.0,05000US51013,51,013,D,Owner,Severely overcrowded,50.1-60% AMI
"Arlington County, Virginia",30.0,29.0,14.0,05000US51013,51,013,D,Owner,Severely overcrowded,60.1-80% AMI
"Arlington County, Virginia",20.0,34.0,15.0,05000US51013,51,013,D,Owner,Severely overcrowded,80.1-95% AMI
"Arlington County, Virginia",55.0,68.0,16.0,05000US51013,51,013,D,Owner,Severely overcrowded,>95% AMI
"Arlington County, Virginia",290.0,139.0,17.0,05000US51013,51,013,S,Owner,Overcrowded,All
"Arlington County, Virginia",0.0,161.0,18.0,05000US51013,51,013,D,Owner,Overcrowded,<=30% AMI
"Arlington County, Virginia",65.0,70.0,19.0,05000US51013,51,013,D,Owner,Overcrowded,30.1-50% AMI
"Arlington County, Virginia",15.0,25.0,20.0,05000US51013,51,013,D,Owner,Overcrowded,50.1-60% AMI
"Arlington County, Virginia",90.0,76.0,21.0,05000US51013,51,013,D,Owner,Overcrowded,60.1-80% AMI
"Arlington County, Virginia",30.0,45.0,22.0,05000US51013,51,013,D,Owner,Overcrowded,80.1-95% AMI
"Arlington County, Virginia",90.0,83.0,23.0,05000US51013,51,013,D,Owner,Overcrowded,>95% AMI
"Arlington County, Virginia",4160.0,676.0,24.0,05000US51013,51,013,S,Owner,Severely cost burdened,All
"Arlington County, Virginia",1705.0,536.0,25.0,05000US51013,51,013,D,Owner,Severely cost burdened,<=30% AMI
"Arlington County, Virginia",725.0,203.0,26.0,05000US51013,51,013,D,Owner,Severely cost burdened,30.1-50% AMI
"Arlington County, Virginia",360.0,149.0,27.0,05000US51013,51,013,D,Owner,Severely cost burdened,50.1-60% AMI
"Arlington County, Virginia",825.0,243.0,28.0,05000US51013,51,013,D,Owner,Severely cost burdened,60.1-80% AMI
"Arlington County, Virginia",140.0,109.0,29.0,05000US51013,51,013,D,Owner,Severely cost burdened,80.1-95% AMI
"Arlington County, Virginia",400.0,188.0,30.0,05000US51013,51,013,D,Owner,Severely cost burdened,>95% AMI
"Arlington County, Virginia",7055.0,852.0,31.0,05000US51013,51,013,S,Owner,Cost burdened,All
"Arlington County, Virginia",190.0,148.0,32.0,05000US51013,51,013,D,Owner,Cost burdened,<=30% AMI
"Arlington County, Virginia",455.0,168.0,33.0,05000US51013,51,013,D,Owner,Cost burdened,30.1-50% AMI
"Arlington County, Virginia",310.0,150.0,34.0,05000US51013,51,013,D,Owner,Cost burdened,50.1-60% AMI
"Arlington County, Virginia",1230.0,360.0,35.0,05000US51013,51,013,D,Owner,Cost burdened,60.1-80% AMI
"Arlington County, Virginia",885.0,261.0,36.0,05000US51013,51,013,D,Owner,Cost burdened,80.1-95% AMI
"Arlington County, Virginia",3985.0,548.0,37.0,05000US51013,51,013,D,Owner,Cost burdened,>95% AMI
"Arlington County, Virginia",215.0,146.0,38.0,05000US51013,51,013,S,Owner,No income or no cash rent,All
"Arlington County, Virginia",215.0,146.0,39.0,05000US51013,51,013,D,Owner,No income or no cash rent,<=30% AMI
"Arlington County, Virginia",0.0,161.0,40.0,05000US51013,51,013,D,Owner,No income or no cash rent,30.1-50% AMI
"Arlington County, Virginia",0.0,161.0,41.0,05000US51013,51,013,D,Owner,No income or no cash rent,50.1-60% AMI
"Arlington County, Virginia",0.0,161.0,42.0,05000US51013,51,013,D,Owner,No income or no cash rent,60.1-80% AMI
"Arlington County, Virginia",0.0,161.0,43.0,05000US51013,51,013,D,Owner,No income or no cash rent,80.1-95% AMI
"Arlington County, Virginia",0.0,161.0,44.0,05000US51013,51,013,D,Owner,No income or no cash rent,>95% AMI
"Arlington County, Virginia",33790.0,1092.0,45.0,05000US51013,51,013,S,Owner,No housing problems,All
"Arlington County, Virginia",120.0,93.0,46.0,05000US51013,51,013,D,Owner,No housing problems,<=30% AMI
"Arlington County, Virginia",665.0,260.0,47.0,05000US51013,51,013,D,Owner,No housing problems,30.1-50% AMI
"Arlington County, Virginia",450.0,156.0,48.0,05000US51013,51,013,D,Owner,No housing problems,50.1-60% AMI
"Arlington County, Virginia",1210.0,255.0,49.0,05000US51013,51,013,D,Owner,No housing problems,60.1-80% AMI
"Arlington County, Virginia",1315.0,342.0,50.0,05000US51013,51,013,D,Owner,No housing problems,80.1-95% AMI
"Arlington County, Virginia",30025.0,1080.0,51.0,05000US51013,51,013,D,Owner,No housing problems,>95% AMI
"Arlington County, Virginia",43815.0,1535.0,52.0,05000US51013,51,013,S,Renter,All,All
"Arlington County, Virginia",220.0,155.0,53.0,05000US51013,51,013,S,Renter,Substandard,All
"Arlington County, Virginia",15.0,31.0,54.0,05000US51013,51,013,D,Renter,Substandard,<=30% AMI
"Arlington County, Virginia",0.0,161.0,55.0,05000US51013,51,013,D,Renter,Substandard,30.1-50% AMI
"Arlington County, Virginia",60.0,94.0,56.0,05000US51013,51,013,D,Renter,Substandard,50.1-60% AMI
"Arlington County, Virginia",0.0,161.0,57.0,05000US51013,51,013,D,Renter,Substandard,60.1-80% AMI
"Arlington County, Virginia",60.0,99.0,58.0,05000US51013,51,013,D,Renter,Substandard,80.1-95% AMI
"Arlington County, Virginia",85.0,84.0,59.0,05000US51013,51,013,D,Renter,Substandard,>95% AMI
"Arlington County, Virginia",390.0,208.0,60.0,05000US51013,51,013,S,Renter,Severely overcrowded,All
"Arlington County, Virginia",120.0,98.0,61.0,05000US51013,51,013,D,Renter,Severely overcrowded,<=30% AMI
"Arlington County, Virginia",125.0,138.0,62.0,05000US51013,51,013,D,Renter,Severely overcrowded,30.1-50% AMI
"Arlington County, Virginia",0.0,161.0,63.0,05000US51013,51,013,D,Renter,Severely overcrowded,50.1-60% AMI
"Arlington County, Virginia",30.0,49.0,64.0,05000US51013,51,013,D,Renter,Severely overcrowded,60.1-80% AMI
"Arlington County, Virginia",25.0,45.0,65.0,05000US51013,51,013,D,Renter,Severely overcrowded,80.1-95% AMI
"Arlington County, Virginia",85.0,80.0,66.0,05000US51013,51,013,D,Renter,Severely overcrowded,>95% AMI
"Arlington County, Virginia",1405.0,471.0,67.0,05000US51013,51,013,S,Renter,Overcrowded,All
"Arlington County, Virginia",200.0,175.0,68.0,05000US51013,51,013,D,Renter,Overcrowded,<=30% AMI
"Arlington County, Virginia",300.0,212.0,69.0,05000US51013,51,013,D,Renter,Overcrowded,30.1-50% AMI
"Arlington County, Virginia",0.0,161.0,70.0,05000US51013,51,013,D,Renter,Overcrowded,50.1-60% AMI
"Arlington County, Virginia",375.0,233.0,71.0,05000US51013,51,013,D,Renter,Overcrowded,60.1-80% AMI
"Arlington County, Virginia",80.0,61.0,72.0,05000US51013,51,013,D,Renter,Overcrowded,80.1-95% AMI
"Arlington County, Virginia",455.0,259.0,73.0,05000US51013,51,013,D,Renter,Overcrowded,>95% AMI
"Arlington County, Virginia",6535.0,779.0,74.0,05000US51013,51,013,S,Renter,Severely cost burdened,All
"Arlington County, Virginia",4570.0,686.0,75.0,05000US51013,51,013,D,Renter,Severely cost burdened,<=30% AMI
"Arlington County, Virginia",1325.0,371.0,76.0,05000US51013,51,013,D,Renter,Severely cost burdened,30.1-50% AMI
"Arlington County, Virginia",205.0,114.0,77.0,05000US51013,51,013,D,Renter,Severely cost burdened,50.1-60% AMI
"Arlington County, Virginia",320.0,201.0,78.0,05000US51013,51,013,D,Renter,Severely cost burdened,60.1-80% AMI
"Arlington County, Virginia",80.0,66.0,79.0,05000US51013,51,013,D,Renter,Severely cost burdened,80.1-95% AMI
"Arlington County, Virginia",35.0,57.0,80.0,05000US51013,51,013,D,Renter,Severely cost burdened,>95% AMI
"Arlington County, Virginia",8315.0,988.0,81.0,05000US51013,51,013,S,Renter,Cost burdened,All
"Arlington County, Virginia",235.0,128.0,82.0,05000US51013,51,013,D,Renter,Cost burdened,<=30% AMI
"Arlington County, Virginia",2945.0,575.0,83.0,05000US51013,51,013,D,Renter,Cost burdened,30.1-50% AMI
"Arlington County, Virginia",1055.0,409.0,84.0,05000US51013,51,013,D,Renter,Cost burdened,50.1-60% AMI
"Arlington County, Virginia",1680.0,410.0,85.0,05000US51013,51,013,D,Renter,Cost burdened,60.1-80% AMI
"Arlington County, Virginia",880.0,284.0,86.0,05000US51013,51,013,D,Renter,Cost burdened,80.1-95% AMI
"Arlington County, Virginia",1515.0,520.0,87.0,05000US51013,51,013,D,Renter,Cost burdened,>95% AMI
"Arlington County, Virginia",1970.0,534.0,88.0,05000US51013,51,013,S,Renter,No income or no cash rent,All
"Arlington County, Virginia",950.0,313.0,89.0,05000US51013,51,013,D,Renter,No income or no cash rent,<=30% AMI
"Arlington County, Virginia",90.0,79.0,90.0,05000US51013,51,013,D,Renter,No income or no cash rent,30.1-50% AMI
"Arlington County, Virginia",245.0,287.0,91.0,05000US51013,51,013,D,Renter,No income or no cash rent,50.1-60% AMI
"Arlington County, Virginia",175.0,173.0,92.0,05000US51013,51,013,D,Renter,No income or no cash rent,60.1-80% AMI
"Arlington County, Virginia",150.0,141.0,93.0,05000US51013,51,013,D,Renter,No income or no cash rent,80.1-95% AMI
"Arlington County, Virginia",360.0,229.0,94.0,05000US51013,51,013,D,Renter,No income or no cash rent,>95% AMI
"Arlington County, Virginia",24980.0,1156.0,95.0,05000US51013,51,013,S,Renter,No housing problems,All
"Arlington County, Virginia",440.0,170.0,96.0,05000US51013,51,013,D,Renter,No housing problems,<=30% AMI
"Arlington County, Virginia",465.0,216.0,97.0,05000US51013,51,013,D,Renter,No housing problems,30.1-50% AMI
"Arlington County, Virginia",880.0,313.0,98.0,05000US51013,51,013,D,Renter,No housing problems,50.1-60% AMI
"Arlington County, Virginia",3155.0,541.0,99.0,05000US51013,51,013,D,Renter,No housing problems,60.1-80% AMI
"Arlington County, Virginia",2560.0,436.0,100.0,05000US51013,51,013,D,Renter,No housing problems,80.1-95% AMI
"Arlington County, Virginia",17485.0,1034.0,101.0,05000US51013,51,013,D,Renter,No housing problems,>95% AMI
