name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Type,Household_Size
"Stafford County, Virginia",38865.0,621.0,1.0,05000US51179,51,179,T,All,All,All,All
"Stafford County, Virginia",30615.0,634.0,2.0,05000US51179,51,179,S,Owner,All,All,All
"Stafford County, Virginia",9415.0,704.0,3.0,05000US51179,51,179,S,Owner,Yes,All,All
"Stafford County, Virginia",1785.0,352.0,4.0,05000US51179,51,179,S,Owner,Yes,"Family, 1 parent",All
"Stafford County, Virginia",1560.0,337.0,5.0,05000US51179,51,179,D,Owner,Yes,"Family, 1 parent",4 or fewer
"Stafford County, Virginia",225.0,128.0,6.0,05000US51179,51,179,D,Owner,Yes,"Family, 1 parent",5 or more
"Stafford County, Virginia",5950.0,539.0,7.0,05000US51179,51,179,S,Owner,Yes,"Family, 2 parents",All
"Stafford County, Virginia",4230.0,454.0,8.0,05000US51179,51,179,D,Owner,Yes,"Family, 2 parents",4 or fewer
"Stafford County, Virginia",1720.0,341.0,9.0,05000US51179,51,179,D,Owner,Yes,"Family, 2 parents",5 or more
"Stafford County, Virginia",1675.0,344.0,10.0,05000US51179,51,179,S,Owner,Yes,Non-family,All
"Stafford County, Virginia",1675.0,344.0,11.0,05000US51179,51,179,D,Owner,Yes,Non-family,4 or fewer
"Stafford County, Virginia",0.0,161.0,12.0,05000US51179,51,179,D,Owner,Yes,Non-family,5 or more
"Stafford County, Virginia",21155.0,765.0,13.0,05000US51179,51,179,S,Owner,No,All,All
"Stafford County, Virginia",1795.0,296.0,14.0,05000US51179,51,179,S,Owner,No,"Family, 1 parent",All
"Stafford County, Virginia",1640.0,293.0,15.0,05000US51179,51,179,D,Owner,No,"Family, 1 parent",4 or fewer
"Stafford County, Virginia",160.0,95.0,16.0,05000US51179,51,179,D,Owner,No,"Family, 1 parent",5 or more
"Stafford County, Virginia",15960.0,799.0,17.0,05000US51179,51,179,S,Owner,No,"Family, 2 parents",All
"Stafford County, Virginia",13535.0,738.0,18.0,05000US51179,51,179,D,Owner,No,"Family, 2 parents",4 or fewer
"Stafford County, Virginia",2420.0,365.0,19.0,05000US51179,51,179,D,Owner,No,"Family, 2 parents",5 or more
"Stafford County, Virginia",3400.0,576.0,20.0,05000US51179,51,179,S,Owner,No,Non-family,All
"Stafford County, Virginia",3385.0,571.0,21.0,05000US51179,51,179,D,Owner,No,Non-family,4 or fewer
"Stafford County, Virginia",15.0,27.0,22.0,05000US51179,51,179,D,Owner,No,Non-family,5 or more
"Stafford County, Virginia",45.0,44.0,23.0,05000US51179,51,179,S,Owner,N/A,All,All
"Stafford County, Virginia",15.0,24.0,24.0,05000US51179,51,179,S,Owner,N/A,"Family, 1 parent",All
"Stafford County, Virginia",15.0,24.0,25.0,05000US51179,51,179,D,Owner,N/A,"Family, 1 parent",4 or fewer
"Stafford County, Virginia",0.0,161.0,26.0,05000US51179,51,179,D,Owner,N/A,"Family, 1 parent",5 or more
"Stafford County, Virginia",15.0,29.0,27.0,05000US51179,51,179,S,Owner,N/A,"Family, 2 parents",All
"Stafford County, Virginia",15.0,29.0,28.0,05000US51179,51,179,D,Owner,N/A,"Family, 2 parents",4 or fewer
"Stafford County, Virginia",0.0,161.0,29.0,05000US51179,51,179,D,Owner,N/A,"Family, 2 parents",5 or more
"Stafford County, Virginia",15.0,24.0,30.0,05000US51179,51,179,S,Owner,N/A,Non-family,All
"Stafford County, Virginia",15.0,24.0,31.0,05000US51179,51,179,D,Owner,N/A,Non-family,4 or fewer
"Stafford County, Virginia",0.0,161.0,32.0,05000US51179,51,179,D,Owner,N/A,Non-family,5 or more
"Stafford County, Virginia",8250.0,756.0,33.0,05000US51179,51,179,S,Renter,All,All,All
"Stafford County, Virginia",3655.0,619.0,34.0,05000US51179,51,179,S,Renter,Yes,All,All
"Stafford County, Virginia",1500.0,487.0,35.0,05000US51179,51,179,S,Renter,Yes,"Family, 1 parent",All
"Stafford County, Virginia",940.0,325.0,36.0,05000US51179,51,179,D,Renter,Yes,"Family, 1 parent",4 or fewer
"Stafford County, Virginia",560.0,294.0,37.0,05000US51179,51,179,D,Renter,Yes,"Family, 1 parent",5 or more
"Stafford County, Virginia",965.0,310.0,38.0,05000US51179,51,179,S,Renter,Yes,"Family, 2 parents",All
"Stafford County, Virginia",755.0,281.0,39.0,05000US51179,51,179,D,Renter,Yes,"Family, 2 parents",4 or fewer
"Stafford County, Virginia",210.0,117.0,40.0,05000US51179,51,179,D,Renter,Yes,"Family, 2 parents",5 or more
"Stafford County, Virginia",1190.0,358.0,41.0,05000US51179,51,179,S,Renter,Yes,Non-family,All
"Stafford County, Virginia",1145.0,355.0,42.0,05000US51179,51,179,D,Renter,Yes,Non-family,4 or fewer
"Stafford County, Virginia",50.0,77.0,43.0,05000US51179,51,179,D,Renter,Yes,Non-family,5 or more
"Stafford County, Virginia",4280.0,542.0,44.0,05000US51179,51,179,S,Renter,No,All,All
"Stafford County, Virginia",910.0,403.0,45.0,05000US51179,51,179,S,Renter,No,"Family, 1 parent",All
"Stafford County, Virginia",740.0,373.0,46.0,05000US51179,51,179,D,Renter,No,"Family, 1 parent",4 or fewer
"Stafford County, Virginia",170.0,132.0,47.0,05000US51179,51,179,D,Renter,No,"Family, 1 parent",5 or more
"Stafford County, Virginia",2150.0,437.0,48.0,05000US51179,51,179,S,Renter,No,"Family, 2 parents",All
"Stafford County, Virginia",1555.0,381.0,49.0,05000US51179,51,179,D,Renter,No,"Family, 2 parents",4 or fewer
"Stafford County, Virginia",595.0,230.0,50.0,05000US51179,51,179,D,Renter,No,"Family, 2 parents",5 or more
"Stafford County, Virginia",1215.0,326.0,51.0,05000US51179,51,179,S,Renter,No,Non-family,All
"Stafford County, Virginia",1215.0,326.0,52.0,05000US51179,51,179,D,Renter,No,Non-family,4 or fewer
"Stafford County, Virginia",0.0,161.0,53.0,05000US51179,51,179,D,Renter,No,Non-family,5 or more
"Stafford County, Virginia",315.0,165.0,54.0,05000US51179,51,179,S,Renter,N/A,All,All
"Stafford County, Virginia",60.0,66.0,55.0,05000US51179,51,179,S,Renter,N/A,"Family, 1 parent",All
"Stafford County, Virginia",60.0,66.0,56.0,05000US51179,51,179,D,Renter,N/A,"Family, 1 parent",4 or fewer
"Stafford County, Virginia",0.0,161.0,57.0,05000US51179,51,179,D,Renter,N/A,"Family, 1 parent",5 or more
"Stafford County, Virginia",70.0,98.0,58.0,05000US51179,51,179,S,Renter,N/A,"Family, 2 parents",All
