name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Elderly_Status
"Stafford County, Virginia",38865.0,621.0,1.0,05000US51179,51,179,T,All,All,All,All
"Stafford County, Virginia",30615.0,634.0,2.0,05000US51179,51,179,S,Owner,All,All,All
"Stafford County, Virginia",9415.0,704.0,3.0,05000US51179,51,179,S,Owner,yes,All,All
"Stafford County, Virginia",945.0,199.0,4.0,05000US51179,51,179,S,Owner,yes,30% AMI or less,All
"Stafford County, Virginia",265.0,130.0,5.0,05000US51179,51,179,D,Owner,yes,30% AMI or less,Elderly
"Stafford County, Virginia",185.0,92.0,6.0,05000US51179,51,179,D,Owner,yes,30% AMI or less,Extra-elderly
"Stafford County, Virginia",495.0,141.0,7.0,05000US51179,51,179,D,Owner,yes,30% AMI or less,Non-elderly
"Stafford County, Virginia",1090.0,242.0,8.0,05000US51179,51,179,S,Owner,yes,30.1-50% AMI,All
"Stafford County, Virginia",285.0,137.0,9.0,05000US51179,51,179,D,Owner,yes,30.1-50% AMI,Elderly
"Stafford County, Virginia",80.0,69.0,10.0,05000US51179,51,179,D,Owner,yes,30.1-50% AMI,Extra-elderly
"Stafford County, Virginia",730.0,215.0,11.0,05000US51179,51,179,D,Owner,yes,30.1-50% AMI,Non-elderly
"Stafford County, Virginia",3325.0,457.0,12.0,05000US51179,51,179,S,Owner,yes,50.1-80% AMI,All
"Stafford County, Virginia",470.0,229.0,13.0,05000US51179,51,179,D,Owner,yes,50.1-80% AMI,Elderly
"Stafford County, Virginia",45.0,45.0,14.0,05000US51179,51,179,D,Owner,yes,50.1-80% AMI,Extra-elderly
"Stafford County, Virginia",2810.0,406.0,15.0,05000US51179,51,179,D,Owner,yes,50.1-80% AMI,Non-elderly
"Stafford County, Virginia",1290.0,302.0,16.0,05000US51179,51,179,S,Owner,yes,80.1-95% AMI,All
"Stafford County, Virginia",105.0,75.0,17.0,05000US51179,51,179,D,Owner,yes,80.1-95% AMI,Elderly
"Stafford County, Virginia",15.0,26.0,18.0,05000US51179,51,179,D,Owner,yes,80.1-95% AMI,Extra-elderly
"Stafford County, Virginia",1175.0,293.0,19.0,05000US51179,51,179,D,Owner,yes,80.1-95% AMI,Non-elderly
"Stafford County, Virginia",2760.0,358.0,20.0,05000US51179,51,179,S,Owner,yes,95.1% AMI and above,All
"Stafford County, Virginia",270.0,140.0,21.0,05000US51179,51,179,D,Owner,yes,95.1% AMI and above,Elderly
"Stafford County, Virginia",60.0,50.0,22.0,05000US51179,51,179,D,Owner,yes,95.1% AMI and above,Extra-elderly
"Stafford County, Virginia",2430.0,330.0,23.0,05000US51179,51,179,D,Owner,yes,95.1% AMI and above,Non-elderly
"Stafford County, Virginia",21155.0,765.0,24.0,05000US51179,51,179,S,Owner,no,All,All
"Stafford County, Virginia",295.0,119.0,25.0,05000US51179,51,179,S,Owner,no,30% AMI or less,All
"Stafford County, Virginia",80.0,64.0,26.0,05000US51179,51,179,D,Owner,no,30% AMI or less,Elderly
"Stafford County, Virginia",110.0,74.0,27.0,05000US51179,51,179,D,Owner,no,30% AMI or less,Extra-elderly
"Stafford County, Virginia",105.0,71.0,28.0,05000US51179,51,179,D,Owner,no,30% AMI or less,Non-elderly
"Stafford County, Virginia",925.0,180.0,29.0,05000US51179,51,179,S,Owner,no,30.1-50% AMI,All
"Stafford County, Virginia",285.0,95.0,30.0,05000US51179,51,179,D,Owner,no,30.1-50% AMI,Elderly
"Stafford County, Virginia",215.0,89.0,31.0,05000US51179,51,179,D,Owner,no,30.1-50% AMI,Extra-elderly
"Stafford County, Virginia",425.0,168.0,32.0,05000US51179,51,179,D,Owner,no,30.1-50% AMI,Non-elderly
"Stafford County, Virginia",2815.0,416.0,33.0,05000US51179,51,179,S,Owner,no,50.1-80% AMI,All
"Stafford County, Virginia",685.0,315.0,34.0,05000US51179,51,179,D,Owner,no,50.1-80% AMI,Elderly
"Stafford County, Virginia",440.0,121.0,35.0,05000US51179,51,179,D,Owner,no,50.1-80% AMI,Extra-elderly
"Stafford County, Virginia",1690.0,293.0,36.0,05000US51179,51,179,D,Owner,no,50.1-80% AMI,Non-elderly
"Stafford County, Virginia",1385.0,236.0,37.0,05000US51179,51,179,S,Owner,no,80.1-95% AMI,All
"Stafford County, Virginia",180.0,102.0,38.0,05000US51179,51,179,D,Owner,no,80.1-95% AMI,Elderly
"Stafford County, Virginia",195.0,113.0,39.0,05000US51179,51,179,D,Owner,no,80.1-95% AMI,Extra-elderly
"Stafford County, Virginia",1015.0,195.0,40.0,05000US51179,51,179,D,Owner,no,80.1-95% AMI,Non-elderly
"Stafford County, Virginia",15735.0,764.0,41.0,05000US51179,51,179,S,Owner,no,95.1% AMI and above,All
"Stafford County, Virginia",1745.0,274.0,42.0,05000US51179,51,179,D,Owner,no,95.1% AMI and above,Elderly
"Stafford County, Virginia",580.0,134.0,43.0,05000US51179,51,179,D,Owner,no,95.1% AMI and above,Extra-elderly
"Stafford County, Virginia",13410.0,687.0,44.0,05000US51179,51,179,D,Owner,no,95.1% AMI and above,Non-elderly
"Stafford County, Virginia",45.0,44.0,45.0,05000US51179,51,179,S,Owner,N/A,All,All
"Stafford County, Virginia",45.0,44.0,46.0,05000US51179,51,179,S,Owner,N/A,30% AMI or less,All
"Stafford County, Virginia",0.0,161.0,47.0,05000US51179,51,179,D,Owner,N/A,30% AMI or less,Elderly
"Stafford County, Virginia",0.0,161.0,48.0,05000US51179,51,179,D,Owner,N/A,30% AMI or less,Extra-elderly
"Stafford County, Virginia",45.0,44.0,49.0,05000US51179,51,179,D,Owner,N/A,30% AMI or less,Non-elderly
"Stafford County, Virginia",0.0,161.0,50.0,05000US51179,51,179,S,Owner,N/A,30.1-50% AMI,All
"Stafford County, Virginia",0.0,161.0,51.0,05000US51179,51,179,D,Owner,N/A,30.1-50% AMI,Elderly
"Stafford County, Virginia",0.0,161.0,52.0,05000US51179,51,179,D,Owner,N/A,30.1-50% AMI,Extra-elderly
"Stafford County, Virginia",0.0,161.0,53.0,05000US51179,51,179,D,Owner,N/A,30.1-50% AMI,Non-elderly
"Stafford County, Virginia",0.0,161.0,54.0,05000US51179,51,179,S,Owner,N/A,50.1-80% AMI,All
"Stafford County, Virginia",0.0,161.0,55.0,05000US51179,51,179,D,Owner,N/A,50.1-80% AMI,Elderly
"Stafford County, Virginia",0.0,161.0,56.0,05000US51179,51,179,D,Owner,N/A,50.1-80% AMI,Extra-elderly
"Stafford County, Virginia",0.0,161.0,57.0,05000US51179,51,179,D,Owner,N/A,50.1-80% AMI,Non-elderly
