name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Albemarle County, Virginia",37010.0,638.0,1.0,05000US51003,51,003,T,All,All,All
"Albemarle County, Virginia",23625.0,860.0,2.0,05000US51003,51,003,S,Owner,All,All
"Albemarle County, Virginia",4030.0,386.0,3.0,05000US51003,51,003,S,Owner,"Small family, elderly",All
"Albemarle County, Virginia",3470.0,345.0,4.0,05000US51003,51,003,D,Owner,"Small family, elderly",No cost burden
"Albemarle County, Virginia",335.0,161.0,5.0,05000US51003,51,003,D,Owner,"Small family, elderly",Moderate cost burden
"Albemarle County, Virginia",205.0,113.0,6.0,05000US51003,51,003,D,Owner,"Small family, elderly",Severe cost burden
"Albemarle County, Virginia",15.0,30.0,7.0,05000US51003,51,003,D,Owner,"Small family, elderly",N/A
"Albemarle County, Virginia",12025.0,745.0,8.0,05000US51003,51,003,S,Owner,"Small family, non-elderly",All
"Albemarle County, Virginia",9500.0,645.0,9.0,05000US51003,51,003,D,Owner,"Small family, non-elderly",No cost burden
"Albemarle County, Virginia",1885.0,420.0,10.0,05000US51003,51,003,D,Owner,"Small family, non-elderly",Moderate cost burden
"Albemarle County, Virginia",640.0,213.0,11.0,05000US51003,51,003,D,Owner,"Small family, non-elderly",Severe cost burden
"Albemarle County, Virginia",0.0,161.0,12.0,05000US51003,51,003,D,Owner,"Small family, non-elderly",N/A
"Albemarle County, Virginia",1750.0,342.0,13.0,05000US51003,51,003,S,Owner,Large family,All
"Albemarle County, Virginia",1220.0,268.0,14.0,05000US51003,51,003,D,Owner,Large family,No cost burden
"Albemarle County, Virginia",430.0,202.0,15.0,05000US51003,51,003,D,Owner,Large family,Moderate cost burden
"Albemarle County, Virginia",95.0,87.0,16.0,05000US51003,51,003,D,Owner,Large family,Severe cost burden
"Albemarle County, Virginia",0.0,161.0,17.0,05000US51003,51,003,D,Owner,Large family,N/A
"Albemarle County, Virginia",2345.0,389.0,18.0,05000US51003,51,003,S,Owner,"Non-family, elderly",All
"Albemarle County, Virginia",1610.0,314.0,19.0,05000US51003,51,003,D,Owner,"Non-family, elderly",No cost burden
"Albemarle County, Virginia",365.0,182.0,20.0,05000US51003,51,003,D,Owner,"Non-family, elderly",Moderate cost burden
"Albemarle County, Virginia",355.0,136.0,21.0,05000US51003,51,003,D,Owner,"Non-family, elderly",Severe cost burden
"Albemarle County, Virginia",15.0,24.0,22.0,05000US51003,51,003,D,Owner,"Non-family, elderly",N/A
"Albemarle County, Virginia",3480.0,504.0,23.0,05000US51003,51,003,S,Owner,"Non-family, non-elderly",All
"Albemarle County, Virginia",2150.0,412.0,24.0,05000US51003,51,003,D,Owner,"Non-family, non-elderly",No cost burden
"Albemarle County, Virginia",900.0,299.0,25.0,05000US51003,51,003,D,Owner,"Non-family, non-elderly",Moderate cost burden
"Albemarle County, Virginia",430.0,161.0,26.0,05000US51003,51,003,D,Owner,"Non-family, non-elderly",Severe cost burden
"Albemarle County, Virginia",0.0,161.0,27.0,05000US51003,51,003,D,Owner,"Non-family, non-elderly",N/A
"Albemarle County, Virginia",13385.0,916.0,28.0,05000US51003,51,003,S,Renter,All,All
"Albemarle County, Virginia",365.0,138.0,29.0,05000US51003,51,003,S,Renter,"Small family, elderly",All
"Albemarle County, Virginia",210.0,114.0,30.0,05000US51003,51,003,D,Renter,"Small family, elderly",No cost burden
"Albemarle County, Virginia",100.0,61.0,31.0,05000US51003,51,003,D,Renter,"Small family, elderly",Moderate cost burden
"Albemarle County, Virginia",30.0,43.0,32.0,05000US51003,51,003,D,Renter,"Small family, elderly",Severe cost burden
"Albemarle County, Virginia",20.0,34.0,33.0,05000US51003,51,003,D,Renter,"Small family, elderly",N/A
"Albemarle County, Virginia",4830.0,707.0,34.0,05000US51003,51,003,S,Renter,"Small family, non-elderly",All
"Albemarle County, Virginia",3140.0,622.0,35.0,05000US51003,51,003,D,Renter,"Small family, non-elderly",No cost burden
"Albemarle County, Virginia",770.0,277.0,36.0,05000US51003,51,003,D,Renter,"Small family, non-elderly",Moderate cost burden
"Albemarle County, Virginia",555.0,236.0,37.0,05000US51003,51,003,D,Renter,"Small family, non-elderly",Severe cost burden
"Albemarle County, Virginia",365.0,229.0,38.0,05000US51003,51,003,D,Renter,"Small family, non-elderly",N/A
"Albemarle County, Virginia",755.0,283.0,39.0,05000US51003,51,003,S,Renter,Large family,All
"Albemarle County, Virginia",400.0,212.0,40.0,05000US51003,51,003,D,Renter,Large family,No cost burden
"Albemarle County, Virginia",65.0,104.0,41.0,05000US51003,51,003,D,Renter,Large family,Moderate cost burden
"Albemarle County, Virginia",175.0,154.0,42.0,05000US51003,51,003,D,Renter,Large family,Severe cost burden
"Albemarle County, Virginia",115.0,114.0,43.0,05000US51003,51,003,D,Renter,Large family,N/A
"Albemarle County, Virginia",1250.0,270.0,44.0,05000US51003,51,003,S,Renter,"Non-family, elderly",All
"Albemarle County, Virginia",370.0,203.0,45.0,05000US51003,51,003,D,Renter,"Non-family, elderly",No cost burden
"Albemarle County, Virginia",425.0,183.0,46.0,05000US51003,51,003,D,Renter,"Non-family, elderly",Moderate cost burden
"Albemarle County, Virginia",340.0,169.0,47.0,05000US51003,51,003,D,Renter,"Non-family, elderly",Severe cost burden
"Albemarle County, Virginia",120.0,91.0,48.0,05000US51003,51,003,D,Renter,"Non-family, elderly",N/A
"Albemarle County, Virginia",6185.0,648.0,49.0,05000US51003,51,003,S,Renter,"Non-family, non-elderly",All
"Albemarle County, Virginia",2760.0,545.0,50.0,05000US51003,51,003,D,Renter,"Non-family, non-elderly",No cost burden
"Albemarle County, Virginia",1385.0,401.0,51.0,05000US51003,51,003,D,Renter,"Non-family, non-elderly",Moderate cost burden
"Albemarle County, Virginia",1440.0,355.0,52.0,05000US51003,51,003,D,Renter,"Non-family, non-elderly",Severe cost burden
"Albemarle County, Virginia",600.0,262.0,53.0,05000US51003,51,003,D,Renter,"Non-family, non-elderly",N/A
