name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Charlottesville city, Virginia",16695.0,444.0,1.0,05000US51540,51,540,T,All,All,All
"Charlottesville city, Virginia",7685.0,483.0,2.0,05000US51540,51,540,S,Owner,All,All
"Charlottesville city, Virginia",1365.0,195.0,3.0,05000US51540,51,540,S,Owner,"Small family, elderly",All
"Charlottesville city, Virginia",1130.0,173.0,4.0,05000US51540,51,540,D,Owner,"Small family, elderly",No cost burden
"Charlottesville city, Virginia",170.0,108.0,5.0,05000US51540,51,540,D,Owner,"Small family, elderly",Moderate cost burden
"Charlottesville city, Virginia",65.0,64.0,6.0,05000US51540,51,540,D,Owner,"Small family, elderly",Severe cost burden
"Charlottesville city, Virginia",0.0,161.0,7.0,05000US51540,51,540,D,Owner,"Small family, elderly",N/A
"Charlottesville city, Virginia",2915.0,302.0,8.0,05000US51540,51,540,S,Owner,"Small family, non-elderly",All
"Charlottesville city, Virginia",1995.0,290.0,9.0,05000US51540,51,540,D,Owner,"Small family, non-elderly",No cost burden
"Charlottesville city, Virginia",655.0,161.0,10.0,05000US51540,51,540,D,Owner,"Small family, non-elderly",Moderate cost burden
"Charlottesville city, Virginia",260.0,112.0,11.0,05000US51540,51,540,D,Owner,"Small family, non-elderly",Severe cost burden
"Charlottesville city, Virginia",0.0,161.0,12.0,05000US51540,51,540,D,Owner,"Small family, non-elderly",N/A
"Charlottesville city, Virginia",265.0,122.0,13.0,05000US51540,51,540,S,Owner,Large family,All
"Charlottesville city, Virginia",80.0,72.0,14.0,05000US51540,51,540,D,Owner,Large family,No cost burden
"Charlottesville city, Virginia",30.0,43.0,15.0,05000US51540,51,540,D,Owner,Large family,Moderate cost burden
"Charlottesville city, Virginia",155.0,96.0,16.0,05000US51540,51,540,D,Owner,Large family,Severe cost burden
"Charlottesville city, Virginia",0.0,161.0,17.0,05000US51540,51,540,D,Owner,Large family,N/A
"Charlottesville city, Virginia",1570.0,307.0,18.0,05000US51540,51,540,S,Owner,"Non-family, elderly",All
"Charlottesville city, Virginia",860.0,214.0,19.0,05000US51540,51,540,D,Owner,"Non-family, elderly",No cost burden
