name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Race,Cost_Burden
"Petersburg city, Virginia",12445.0,526.0,1.0,05000US51730,51,730,T,All,All,All
"Petersburg city, Virginia",6355.0,473.0,2.0,05000US51730,51,730,S,Owner,All,All
"Petersburg city, Virginia",1865.0,231.0,3.0,05000US51730,51,730,S,Owner,White,All
"Petersburg city, Virginia",1580.0,233.0,4.0,05000US51730,51,730,D,Owner,White,No cost burden
"Petersburg city, Virginia",185.0,98.0,5.0,05000US51730,51,730,D,Owner,White,Moderate cost burden
"Petersburg city, Virginia",75.0,53.0,6.0,05000US51730,51,730,D,Owner,White,Severe cost burden
"Petersburg city, Virginia",20.0,35.0,7.0,05000US51730,51,730,D,Owner,White,N/A
"Petersburg city, Virginia",4295.0,413.0,8.0,05000US51730,51,730,S,Owner,Black,All
"Petersburg city, Virginia",3085.0,379.0,9.0,05000US51730,51,730,D,Owner,Black,No cost burden
"Petersburg city, Virginia",620.0,225.0,10.0,05000US51730,51,730,D,Owner,Black,Moderate cost burden
"Petersburg city, Virginia",545.0,155.0,11.0,05000US51730,51,730,D,Owner,Black,Severe cost burden
"Petersburg city, Virginia",45.0,56.0,12.0,05000US51730,51,730,D,Owner,Black,N/A
"Petersburg city, Virginia",110.0,92.0,13.0,05000US51730,51,730,S,Owner,Asian,All
"Petersburg city, Virginia",75.0,70.0,14.0,05000US51730,51,730,D,Owner,Asian,No cost burden
"Petersburg city, Virginia",0.0,161.0,15.0,05000US51730,51,730,D,Owner,Asian,Moderate cost burden
"Petersburg city, Virginia",35.0,63.0,16.0,05000US51730,51,730,D,Owner,Asian,Severe cost burden
"Petersburg city, Virginia",0.0,161.0,17.0,05000US51730,51,730,D,Owner,Asian,N/A
"Petersburg city, Virginia",0.0,161.0,18.0,05000US51730,51,730,S,Owner,American Indian,All
"Petersburg city, Virginia",0.0,161.0,19.0,05000US51730,51,730,D,Owner,American Indian,No cost burden
"Petersburg city, Virginia",0.0,161.0,20.0,05000US51730,51,730,D,Owner,American Indian,Moderate cost burden
"Petersburg city, Virginia",0.0,161.0,21.0,05000US51730,51,730,D,Owner,American Indian,Severe cost burden
"Petersburg city, Virginia",0.0,161.0,22.0,05000US51730,51,730,D,Owner,American Indian,N/A
"Petersburg city, Virginia",0.0,161.0,23.0,05000US51730,51,730,S,Owner,Pacific Islander,All
"Petersburg city, Virginia",0.0,161.0,24.0,05000US51730,51,730,D,Owner,Pacific Islander,No cost burden
"Petersburg city, Virginia",0.0,161.0,25.0,05000US51730,51,730,D,Owner,Pacific Islander,Moderate cost burden
"Petersburg city, Virginia",0.0,161.0,26.0,05000US51730,51,730,D,Owner,Pacific Islander,Severe cost burden
"Petersburg city, Virginia",0.0,161.0,27.0,05000US51730,51,730,D,Owner,Pacific Islander,N/A
"Petersburg city, Virginia",50.0,86.0,28.0,05000US51730,51,730,S,Owner,Hispanic,All
"Petersburg city, Virginia",50.0,86.0,29.0,05000US51730,51,730,D,Owner,Hispanic,No cost burden
"Petersburg city, Virginia",0.0,161.0,30.0,05000US51730,51,730,D,Owner,Hispanic,Moderate cost burden
"Petersburg city, Virginia",0.0,161.0,31.0,05000US51730,51,730,D,Owner,Hispanic,Severe cost burden
"Petersburg city, Virginia",0.0,161.0,32.0,05000US51730,51,730,D,Owner,Hispanic,N/A
"Petersburg city, Virginia",30.0,39.0,33.0,05000US51730,51,730,S,Owner,Other,All
"Petersburg city, Virginia",15.0,29.0,34.0,05000US51730,51,730,D,Owner,Other,No cost burden
"Petersburg city, Virginia",0.0,161.0,35.0,05000US51730,51,730,D,Owner,Other,Moderate cost burden
