name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income
"Fairfax County, Virginia",365095.0,2044.0,1.0,05000US51059,51,059,T,All,All,All
"Fairfax County, Virginia",272625.0,2648.0,2.0,05000US51059,51,059,S,Owner,All,All
"Fairfax County, Virginia",80235.0,1941.0,3.0,05000US51059,51,059,S,Owner,Yes,All
"Fairfax County, Virginia",4465.0,555.0,4.0,05000US51059,51,059,D,Owner,Yes,<=20% AMI
"Fairfax County, Virginia",3190.0,524.0,5.0,05000US51059,51,059,D,Owner,Yes,20.1-30% AMI
"Fairfax County, Virginia",5070.0,682.0,6.0,05000US51059,51,059,D,Owner,Yes,30.1-40% AMI
"Fairfax County, Virginia",6310.0,884.0,7.0,05000US51059,51,059,D,Owner,Yes,40.1-50% AMI
"Fairfax County, Virginia",6460.0,787.0,8.0,05000US51059,51,059,D,Owner,Yes,50.1-60% AMI
"Fairfax County, Virginia",3105.0,446.0,9.0,05000US51059,51,059,D,Owner,Yes,60.1-65% AMI
"Fairfax County, Virginia",10215.0,912.0,10.0,05000US51059,51,059,D,Owner,Yes,65.1-80% AMI
"Fairfax County, Virginia",9795.0,885.0,11.0,05000US51059,51,059,D,Owner,Yes,80.1-95% AMI
"Fairfax County, Virginia",2955.0,529.0,12.0,05000US51059,51,059,D,Owner,Yes,95.1-100% AMI
"Fairfax County, Virginia",6375.0,661.0,13.0,05000US51059,51,059,D,Owner,Yes,100.1-115% AMI
"Fairfax County, Virginia",2035.0,358.0,14.0,05000US51059,51,059,D,Owner,Yes,115.1-120% AMI
"Fairfax County, Virginia",7795.0,825.0,15.0,05000US51059,51,059,D,Owner,Yes,120.1-140% AMI
"Fairfax County, Virginia",12460.0,1086.0,16.0,05000US51059,51,059,D,Owner,Yes,>140% AMI
"Fairfax County, Virginia",191245.0,2584.0,17.0,05000US51059,51,059,S,Owner,No,All
"Fairfax County, Virginia",140.0,92.0,18.0,05000US51059,51,059,D,Owner,No,<=20% AMI
"Fairfax County, Virginia",430.0,191.0,19.0,05000US51059,51,059,D,Owner,No,20.1-30% AMI
"Fairfax County, Virginia",1130.0,271.0,20.0,05000US51059,51,059,D,Owner,No,30.1-40% AMI
"Fairfax County, Virginia",2100.0,403.0,21.0,05000US51059,51,059,D,Owner,No,40.1-50% AMI
"Fairfax County, Virginia",2430.0,389.0,22.0,05000US51059,51,059,D,Owner,No,50.1-60% AMI
"Fairfax County, Virginia",1775.0,347.0,23.0,05000US51059,51,059,D,Owner,No,60.1-65% AMI
"Fairfax County, Virginia",7355.0,764.0,24.0,05000US51059,51,059,D,Owner,No,65.1-80% AMI
"Fairfax County, Virginia",8290.0,826.0,25.0,05000US51059,51,059,D,Owner,No,80.1-95% AMI
"Fairfax County, Virginia",3695.0,515.0,26.0,05000US51059,51,059,D,Owner,No,95.1-100% AMI
"Fairfax County, Virginia",12015.0,879.0,27.0,05000US51059,51,059,D,Owner,No,100.1-115% AMI
"Fairfax County, Virginia",4575.0,588.0,28.0,05000US51059,51,059,D,Owner,No,115.1-120% AMI
"Fairfax County, Virginia",19090.0,1037.0,29.0,05000US51059,51,059,D,Owner,No,120.1-140% AMI
"Fairfax County, Virginia",128210.0,2519.0,30.0,05000US51059,51,059,D,Owner,No,>140% AMI
"Fairfax County, Virginia",1145.0,382.0,31.0,05000US51059,51,059,S,Owner,N/A,All
"Fairfax County, Virginia",1145.0,382.0,32.0,05000US51059,51,059,D,Owner,N/A,<=20% AMI
"Fairfax County, Virginia",0.0,161.0,33.0,05000US51059,51,059,D,Owner,N/A,20.1-30% AMI
"Fairfax County, Virginia",0.0,161.0,34.0,05000US51059,51,059,D,Owner,N/A,30.1-40% AMI
"Fairfax County, Virginia",0.0,161.0,35.0,05000US51059,51,059,D,Owner,N/A,40.1-50% AMI
"Fairfax County, Virginia",0.0,161.0,36.0,05000US51059,51,059,D,Owner,N/A,50.1-60% AMI
"Fairfax County, Virginia",0.0,161.0,37.0,05000US51059,51,059,D,Owner,N/A,60.1-65% AMI
"Fairfax County, Virginia",0.0,161.0,38.0,05000US51059,51,059,D,Owner,N/A,65.1-80% AMI
"Fairfax County, Virginia",0.0,161.0,39.0,05000US51059,51,059,D,Owner,N/A,80.1-95% AMI
"Fairfax County, Virginia",0.0,161.0,40.0,05000US51059,51,059,D,Owner,N/A,95.1-100% AMI
"Fairfax County, Virginia",0.0,161.0,41.0,05000US51059,51,059,D,Owner,N/A,100.1-115% AMI
"Fairfax County, Virginia",0.0,161.0,42.0,05000US51059,51,059,D,Owner,N/A,115.1-120% AMI
"Fairfax County, Virginia",0.0,161.0,43.0,05000US51059,51,059,D,Owner,N/A,120.1-140% AMI
"Fairfax County, Virginia",0.0,161.0,44.0,05000US51059,51,059,D,Owner,N/A,>140% AMI
"Fairfax County, Virginia",92470.0,2867.0,45.0,05000US51059,51,059,S,Renter,All,All
"Fairfax County, Virginia",40130.0,2126.0,46.0,05000US51059,51,059,S,Renter,Yes,All
"Fairfax County, Virginia",7290.0,866.0,47.0,05000US51059,51,059,D,Renter,Yes,<=20% AMI
"Fairfax County, Virginia",5390.0,780.0,48.0,05000US51059,51,059,D,Renter,Yes,20.1-30% AMI
"Fairfax County, Virginia",5035.0,697.0,49.0,05000US51059,51,059,D,Renter,Yes,30.1-40% AMI
"Fairfax County, Virginia",5275.0,790.0,50.0,05000US51059,51,059,D,Renter,Yes,40.1-50% AMI
"Fairfax County, Virginia",5050.0,939.0,51.0,05000US51059,51,059,D,Renter,Yes,50.1-60% AMI
"Fairfax County, Virginia",2470.0,492.0,52.0,05000US51059,51,059,D,Renter,Yes,60.1-65% AMI
"Fairfax County, Virginia",4840.0,611.0,53.0,05000US51059,51,059,D,Renter,Yes,65.1-80% AMI
"Fairfax County, Virginia",1945.0,392.0,54.0,05000US51059,51,059,D,Renter,Yes,80.1-95% AMI
"Fairfax County, Virginia",655.0,259.0,55.0,05000US51059,51,059,D,Renter,Yes,95.1-100% AMI
"Fairfax County, Virginia",945.0,359.0,56.0,05000US51059,51,059,D,Renter,Yes,100.1-115% AMI
"Fairfax County, Virginia",290.0,196.0,57.0,05000US51059,51,059,D,Renter,Yes,115.1-120% AMI
"Fairfax County, Virginia",565.0,242.0,58.0,05000US51059,51,059,D,Renter,Yes,120.1-140% AMI
"Fairfax County, Virginia",385.0,194.0,59.0,05000US51059,51,059,D,Renter,Yes,>140% AMI
"Fairfax County, Virginia",48420.0,2143.0,60.0,05000US51059,51,059,S,Renter,No,All
"Fairfax County, Virginia",1055.0,332.0,61.0,05000US51059,51,059,D,Renter,No,<=20% AMI
"Fairfax County, Virginia",1100.0,328.0,62.0,05000US51059,51,059,D,Renter,No,20.1-30% AMI
"Fairfax County, Virginia",385.0,182.0,63.0,05000US51059,51,059,D,Renter,No,30.1-40% AMI
"Fairfax County, Virginia",715.0,208.0,64.0,05000US51059,51,059,D,Renter,No,40.1-50% AMI
"Fairfax County, Virginia",2360.0,720.0,65.0,05000US51059,51,059,D,Renter,No,50.1-60% AMI
"Fairfax County, Virginia",1500.0,406.0,66.0,05000US51059,51,059,D,Renter,No,60.1-65% AMI
"Fairfax County, Virginia",4780.0,650.0,67.0,05000US51059,51,059,D,Renter,No,65.1-80% AMI
"Fairfax County, Virginia",5880.0,835.0,68.0,05000US51059,51,059,D,Renter,No,80.1-95% AMI
"Fairfax County, Virginia",2025.0,553.0,69.0,05000US51059,51,059,D,Renter,No,95.1-100% AMI
"Fairfax County, Virginia",5585.0,842.0,70.0,05000US51059,51,059,D,Renter,No,100.1-115% AMI
"Fairfax County, Virginia",1800.0,436.0,71.0,05000US51059,51,059,D,Renter,No,115.1-120% AMI
"Fairfax County, Virginia",5630.0,734.0,72.0,05000US51059,51,059,D,Renter,No,120.1-140% AMI
"Fairfax County, Virginia",15605.0,1088.0,73.0,05000US51059,51,059,D,Renter,No,>140% AMI
"Fairfax County, Virginia",3915.0,512.0,74.0,05000US51059,51,059,S,Renter,N/A,All
"Fairfax County, Virginia",1640.0,368.0,75.0,05000US51059,51,059,D,Renter,N/A,<=20% AMI
"Fairfax County, Virginia",195.0,92.0,76.0,05000US51059,51,059,D,Renter,N/A,20.1-30% AMI
"Fairfax County, Virginia",165.0,97.0,77.0,05000US51059,51,059,D,Renter,N/A,30.1-40% AMI
"Fairfax County, Virginia",170.0,108.0,78.0,05000US51059,51,059,D,Renter,N/A,40.1-50% AMI
"Fairfax County, Virginia",225.0,131.0,79.0,05000US51059,51,059,D,Renter,N/A,50.1-60% AMI
"Fairfax County, Virginia",60.0,61.0,80.0,05000US51059,51,059,D,Renter,N/A,60.1-65% AMI
"Fairfax County, Virginia",315.0,195.0,81.0,05000US51059,51,059,D,Renter,N/A,65.1-80% AMI
"Fairfax County, Virginia",200.0,133.0,82.0,05000US51059,51,059,D,Renter,N/A,80.1-95% AMI
"Fairfax County, Virginia",45.0,51.0,83.0,05000US51059,51,059,D,Renter,N/A,95.1-100% AMI
"Fairfax County, Virginia",170.0,109.0,84.0,05000US51059,51,059,D,Renter,N/A,100.1-115% AMI
"Fairfax County, Virginia",25.0,44.0,85.0,05000US51059,51,059,D,Renter,N/A,115.1-120% AMI
"Fairfax County, Virginia",195.0,111.0,86.0,05000US51059,51,059,D,Renter,N/A,120.1-140% AMI
"Fairfax County, Virginia",510.0,203.0,87.0,05000US51059,51,059,D,Renter,N/A,>140% AMI
