name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income
"Staunton city, Virginia",9710.0,381.0,1.0,05000US51790,51,790,T,All,All,All
"Staunton city, Virginia",5780.0,380.0,2.0,05000US51790,51,790,S,Owner,All,All
"Staunton city, Virginia",1115.0,310.0,3.0,05000US51790,51,790,S,Owner,Yes,All
"Staunton city, Virginia",160.0,92.0,4.0,05000US51790,51,790,D,Owner,Yes,<=20% AMI
"Staunton city, Virginia",205.0,161.0,5.0,05000US51790,51,790,D,Owner,Yes,20.1-30% AMI
"Staunton city, Virginia",155.0,93.0,6.0,05000US51790,51,790,D,Owner,Yes,30.1-40% AMI
"Staunton city, Virginia",45.0,47.0,7.0,05000US51790,51,790,D,Owner,Yes,40.1-50% AMI
"Staunton city, Virginia",45.0,47.0,8.0,05000US51790,51,790,D,Owner,Yes,50.1-60% AMI
"Staunton city, Virginia",65.0,65.0,9.0,05000US51790,51,790,D,Owner,Yes,60.1-65% AMI
"Staunton city, Virginia",110.0,86.0,10.0,05000US51790,51,790,D,Owner,Yes,65.1-80% AMI
"Staunton city, Virginia",195.0,142.0,11.0,05000US51790,51,790,D,Owner,Yes,80.1-95% AMI
"Staunton city, Virginia",20.0,40.0,12.0,05000US51790,51,790,D,Owner,Yes,95.1-100% AMI
"Staunton city, Virginia",50.0,61.0,13.0,05000US51790,51,790,D,Owner,Yes,100.1-115% AMI
"Staunton city, Virginia",20.0,32.0,14.0,05000US51790,51,790,D,Owner,Yes,115.1-120% AMI
"Staunton city, Virginia",35.0,40.0,15.0,05000US51790,51,790,D,Owner,Yes,120.1-140% AMI
"Staunton city, Virginia",4.0,17.0,16.0,05000US51790,51,790,D,Owner,Yes,>140% AMI
"Staunton city, Virginia",4625.0,386.0,17.0,05000US51790,51,790,S,Owner,No,All
"Staunton city, Virginia",0.0,161.0,18.0,05000US51790,51,790,D,Owner,No,<=20% AMI
"Staunton city, Virginia",75.0,76.0,19.0,05000US51790,51,790,D,Owner,No,20.1-30% AMI
"Staunton city, Virginia",75.0,66.0,20.0,05000US51790,51,790,D,Owner,No,30.1-40% AMI
"Staunton city, Virginia",200.0,126.0,21.0,05000US51790,51,790,D,Owner,No,40.1-50% AMI
"Staunton city, Virginia",175.0,100.0,22.0,05000US51790,51,790,D,Owner,No,50.1-60% AMI
"Staunton city, Virginia",100.0,63.0,23.0,05000US51790,51,790,D,Owner,No,60.1-65% AMI
"Staunton city, Virginia",330.0,151.0,24.0,05000US51790,51,790,D,Owner,No,65.1-80% AMI
"Staunton city, Virginia",370.0,152.0,25.0,05000US51790,51,790,D,Owner,No,80.1-95% AMI
"Staunton city, Virginia",145.0,92.0,26.0,05000US51790,51,790,D,Owner,No,95.1-100% AMI
"Staunton city, Virginia",630.0,194.0,27.0,05000US51790,51,790,D,Owner,No,100.1-115% AMI
"Staunton city, Virginia",225.0,124.0,28.0,05000US51790,51,790,D,Owner,No,115.1-120% AMI
"Staunton city, Virginia",620.0,178.0,29.0,05000US51790,51,790,D,Owner,No,120.1-140% AMI
"Staunton city, Virginia",1675.0,280.0,30.0,05000US51790,51,790,D,Owner,No,>140% AMI
"Staunton city, Virginia",40.0,51.0,31.0,05000US51790,51,790,S,Owner,N/A,All
