name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Spotsylvania County, Virginia",495.0,280.0,1.0,05000US51177,51,177,T,All,All,All
"Spotsylvania County, Virginia",0.0,161.0,2.0,05000US51177,51,177,S,Substandard,All,All
"Spotsylvania County, Virginia",495.0,280.0,3.0,05000US51177,51,177,S,Standard,All,All
"Spotsylvania County, Virginia",0.0,161.0,4.0,05000US51177,51,177,S,Standard,VHUD50,All
"Spotsylvania County, Virginia",0.0,161.0,5.0,05000US51177,51,177,D,Standard,VHUD50,0 or 1
"Spotsylvania County, Virginia",0.0,161.0,6.0,05000US51177,51,177,D,Standard,VHUD50,2
"Spotsylvania County, Virginia",0.0,161.0,7.0,05000US51177,51,177,D,Standard,VHUD50,3 or more
"Spotsylvania County, Virginia",245.0,217.0,8.0,05000US51177,51,177,S,Standard,VHUD80,All
"Spotsylvania County, Virginia",0.0,161.0,9.0,05000US51177,51,177,D,Standard,VHUD80,0 or 1
"Spotsylvania County, Virginia",70.0,120.0,10.0,05000US51177,51,177,D,Standard,VHUD80,2
"Spotsylvania County, Virginia",170.0,177.0,11.0,05000US51177,51,177,D,Standard,VHUD80,3 or more
"Spotsylvania County, Virginia",65.0,104.0,12.0,05000US51177,51,177,S,Standard,VHUD100,All
"Spotsylvania County, Virginia",0.0,161.0,13.0,05000US51177,51,177,D,Standard,VHUD100,0 or 1
"Spotsylvania County, Virginia",0.0,161.0,14.0,05000US51177,51,177,D,Standard,VHUD100,2
"Spotsylvania County, Virginia",65.0,104.0,15.0,05000US51177,51,177,D,Standard,VHUD100,3 or more
"Spotsylvania County, Virginia",190.0,167.0,16.0,05000US51177,51,177,S,Standard,Greater than VHUD100,All
"Spotsylvania County, Virginia",0.0,161.0,17.0,05000US51177,51,177,D,Standard,Greater than VHUD100,0 or 1
"Spotsylvania County, Virginia",0.0,161.0,18.0,05000US51177,51,177,D,Standard,Greater than VHUD100,2
"Spotsylvania County, Virginia",190.0,167.0,19.0,05000US51177,51,177,D,Standard,Greater than VHUD100,3 or more
