name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Staunton city, Virginia",510.0,224.0,1.0,05000US51790,51,790,T,All,All,All
"Staunton city, Virginia",35.0,55.0,2.0,05000US51790,51,790,S,Substandard,All,All
"Staunton city, Virginia",475.0,227.0,3.0,05000US51790,51,790,S,Standard,All,All
"Staunton city, Virginia",75.0,86.0,4.0,05000US51790,51,790,S,Standard,RHUD30,All
"Staunton city, Virginia",0.0,161.0,5.0,05000US51790,51,790,D,Standard,RHUD30,0 or 1
"Staunton city, Virginia",35.0,55.0,6.0,05000US51790,51,790,D,Standard,RHUD30,2
"Staunton city, Virginia",40.0,67.0,7.0,05000US51790,51,790,D,Standard,RHUD30,3 or more
"Staunton city, Virginia",390.0,220.0,8.0,05000US51790,51,790,S,Standard,RHUD50,All
"Staunton city, Virginia",30.0,53.0,9.0,05000US51790,51,790,D,Standard,RHUD50,0 or 1
"Staunton city, Virginia",280.0,190.0,10.0,05000US51790,51,790,D,Standard,RHUD50,2
"Staunton city, Virginia",75.0,109.0,11.0,05000US51790,51,790,D,Standard,RHUD50,3 or more
"Staunton city, Virginia",15.0,23.0,12.0,05000US51790,51,790,S,Standard,RHUD80,All
"Staunton city, Virginia",0.0,161.0,13.0,05000US51790,51,790,D,Standard,RHUD80,0 or 1
"Staunton city, Virginia",15.0,23.0,14.0,05000US51790,51,790,D,Standard,RHUD80,2
"Staunton city, Virginia",0.0,161.0,15.0,05000US51790,51,790,D,Standard,RHUD80,3 or more
"Staunton city, Virginia",0.0,161.0,16.0,05000US51790,51,790,S,Standard,Greater than RHUD80,All
"Staunton city, Virginia",0.0,161.0,17.0,05000US51790,51,790,D,Standard,Greater than RHUD80,0 or 1
"Staunton city, Virginia",0.0,161.0,18.0,05000US51790,51,790,D,Standard,Greater than RHUD80,2
"Staunton city, Virginia",0.0,161.0,19.0,05000US51790,51,790,D,Standard,Greater than RHUD80,3 or more
