name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Manassas city, Virginia",1035.0,271.0,1.0,05000US51683,51,683,T,All,All,All,All
"Manassas city, Virginia",0.0,161.0,2.0,05000US51683,51,683,S,Substandard,All,All,All
"Manassas city, Virginia",1035.0,271.0,3.0,05000US51683,51,683,S,Standard,All,All,All
"Manassas city, Virginia",120.0,91.0,4.0,05000US51683,51,683,S,Standard,VHUD50,All,All
"Manassas city, Virginia",70.0,82.0,5.0,05000US51683,51,683,S,Standard,VHUD50,30% AMI or less,All
"Manassas city, Virginia",0.0,161.0,6.0,05000US51683,51,683,D,Standard,VHUD50,30% AMI or less,0 or 1
"Manassas city, Virginia",70.0,82.0,7.0,05000US51683,51,683,D,Standard,VHUD50,30% AMI or less,2
"Manassas city, Virginia",0.0,161.0,8.0,05000US51683,51,683,D,Standard,VHUD50,30% AMI or less,3 or more
"Manassas city, Virginia",20.0,35.0,9.0,05000US51683,51,683,S,Standard,VHUD50,30.1-50% AMI,All
"Manassas city, Virginia",0.0,161.0,10.0,05000US51683,51,683,D,Standard,VHUD50,30.1-50% AMI,0 or 1
"Manassas city, Virginia",20.0,35.0,11.0,05000US51683,51,683,D,Standard,VHUD50,30.1-50% AMI,2
"Manassas city, Virginia",0.0,161.0,12.0,05000US51683,51,683,D,Standard,VHUD50,30.1-50% AMI,3 or more
"Manassas city, Virginia",20.0,35.0,13.0,05000US51683,51,683,S,Standard,VHUD50,50.1-80% AMI,All
"Manassas city, Virginia",0.0,161.0,14.0,05000US51683,51,683,D,Standard,VHUD50,50.1-80% AMI,0 or 1
"Manassas city, Virginia",20.0,35.0,15.0,05000US51683,51,683,D,Standard,VHUD50,50.1-80% AMI,2
"Manassas city, Virginia",0.0,161.0,16.0,05000US51683,51,683,D,Standard,VHUD50,50.1-80% AMI,3 or more
"Manassas city, Virginia",0.0,161.0,17.0,05000US51683,51,683,S,Standard,VHUD50,80.1-95% AMI,All
"Manassas city, Virginia",0.0,161.0,18.0,05000US51683,51,683,D,Standard,VHUD50,80.1-95% AMI,0 or 1
"Manassas city, Virginia",0.0,161.0,19.0,05000US51683,51,683,D,Standard,VHUD50,80.1-95% AMI,2
"Manassas city, Virginia",0.0,161.0,20.0,05000US51683,51,683,D,Standard,VHUD50,80.1-95% AMI,3 or more
"Manassas city, Virginia",10.0,25.0,21.0,05000US51683,51,683,S,Standard,VHUD50,95.1% AMI and above,All
"Manassas city, Virginia",0.0,161.0,22.0,05000US51683,51,683,D,Standard,VHUD50,95.1% AMI and above,0 or 1
"Manassas city, Virginia",10.0,25.0,23.0,05000US51683,51,683,D,Standard,VHUD50,95.1% AMI and above,2
"Manassas city, Virginia",0.0,161.0,24.0,05000US51683,51,683,D,Standard,VHUD50,95.1% AMI and above,3 or more
"Manassas city, Virginia",130.0,111.0,25.0,05000US51683,51,683,S,Standard,VHUD80,All,All
"Manassas city, Virginia",40.0,66.0,26.0,05000US51683,51,683,S,Standard,VHUD80,30% AMI or less,All
"Manassas city, Virginia",40.0,66.0,27.0,05000US51683,51,683,D,Standard,VHUD80,30% AMI or less,0 or 1
"Manassas city, Virginia",0.0,161.0,28.0,05000US51683,51,683,D,Standard,VHUD80,30% AMI or less,2
"Manassas city, Virginia",0.0,161.0,29.0,05000US51683,51,683,D,Standard,VHUD80,30% AMI or less,3 or more
"Manassas city, Virginia",50.0,60.0,30.0,05000US51683,51,683,S,Standard,VHUD80,30.1-50% AMI,All
"Manassas city, Virginia",0.0,161.0,31.0,05000US51683,51,683,D,Standard,VHUD80,30.1-50% AMI,0 or 1
"Manassas city, Virginia",15.0,32.0,32.0,05000US51683,51,683,D,Standard,VHUD80,30.1-50% AMI,2
