name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Lee County, Virginia",2705.0,450.0,1.0,05000US51105,51,105,T,All,All,All,All
"Lee County, Virginia",135.0,121.0,2.0,05000US51105,51,105,S,Substandard,All,All,All
"Lee County, Virginia",2570.0,425.0,3.0,05000US51105,51,105,S,Standard,All,All,All
"Lee County, Virginia",1300.0,329.0,4.0,05000US51105,51,105,S,Standard,RHUD30,All,All
"Lee County, Virginia",415.0,174.0,5.0,05000US51105,51,105,S,Standard,RHUD30,30% AMI or less,All
"Lee County, Virginia",135.0,73.0,6.0,05000US51105,51,105,D,Standard,RHUD30,30% AMI or less,0 or 1
"Lee County, Virginia",215.0,145.0,7.0,05000US51105,51,105,D,Standard,RHUD30,30% AMI or less,2
"Lee County, Virginia",70.0,76.0,8.0,05000US51105,51,105,D,Standard,RHUD30,30% AMI or less,3 or more
"Lee County, Virginia",360.0,199.0,9.0,05000US51105,51,105,S,Standard,RHUD30,30.1-50% AMI,All
"Lee County, Virginia",90.0,112.0,10.0,05000US51105,51,105,D,Standard,RHUD30,30.1-50% AMI,0 or 1
"Lee County, Virginia",85.0,74.0,11.0,05000US51105,51,105,D,Standard,RHUD30,30.1-50% AMI,2
"Lee County, Virginia",185.0,147.0,12.0,05000US51105,51,105,D,Standard,RHUD30,30.1-50% AMI,3 or more
"Lee County, Virginia",255.0,148.0,13.0,05000US51105,51,105,S,Standard,RHUD30,50.1-80% AMI,All
"Lee County, Virginia",10.0,15.0,14.0,05000US51105,51,105,D,Standard,RHUD30,50.1-80% AMI,0 or 1
"Lee County, Virginia",75.0,63.0,15.0,05000US51105,51,105,D,Standard,RHUD30,50.1-80% AMI,2
"Lee County, Virginia",175.0,140.0,16.0,05000US51105,51,105,D,Standard,RHUD30,50.1-80% AMI,3 or more
"Lee County, Virginia",25.0,35.0,17.0,05000US51105,51,105,S,Standard,RHUD30,80.1-95% AMI,All
"Lee County, Virginia",0.0,161.0,18.0,05000US51105,51,105,D,Standard,RHUD30,80.1-95% AMI,0 or 1
"Lee County, Virginia",10.0,21.0,19.0,05000US51105,51,105,D,Standard,RHUD30,80.1-95% AMI,2
"Lee County, Virginia",15.0,30.0,20.0,05000US51105,51,105,D,Standard,RHUD30,80.1-95% AMI,3 or more
"Lee County, Virginia",240.0,160.0,21.0,05000US51105,51,105,S,Standard,RHUD30,95.1% AMI and above,All
"Lee County, Virginia",0.0,161.0,22.0,05000US51105,51,105,D,Standard,RHUD30,95.1% AMI and above,0 or 1
"Lee County, Virginia",25.0,39.0,23.0,05000US51105,51,105,D,Standard,RHUD30,95.1% AMI and above,2
"Lee County, Virginia",215.0,166.0,24.0,05000US51105,51,105,D,Standard,RHUD30,95.1% AMI and above,3 or more
"Lee County, Virginia",1070.0,339.0,25.0,05000US51105,51,105,S,Standard,RHUD50,All,All
"Lee County, Virginia",290.0,151.0,26.0,05000US51105,51,105,S,Standard,RHUD50,30% AMI or less,All
"Lee County, Virginia",45.0,49.0,27.0,05000US51105,51,105,D,Standard,RHUD50,30% AMI or less,0 or 1
"Lee County, Virginia",90.0,80.0,28.0,05000US51105,51,105,D,Standard,RHUD50,30% AMI or less,2
"Lee County, Virginia",155.0,130.0,29.0,05000US51105,51,105,D,Standard,RHUD50,30% AMI or less,3 or more
"Lee County, Virginia",185.0,118.0,30.0,05000US51105,51,105,S,Standard,RHUD50,30.1-50% AMI,All
"Lee County, Virginia",15.0,27.0,31.0,05000US51105,51,105,D,Standard,RHUD50,30.1-50% AMI,0 or 1
"Lee County, Virginia",120.0,97.0,32.0,05000US51105,51,105,D,Standard,RHUD50,30.1-50% AMI,2
"Lee County, Virginia",55.0,72.0,33.0,05000US51105,51,105,D,Standard,RHUD50,30.1-50% AMI,3 or more
"Lee County, Virginia",145.0,110.0,34.0,05000US51105,51,105,S,Standard,RHUD50,50.1-80% AMI,All
"Lee County, Virginia",50.0,64.0,35.0,05000US51105,51,105,D,Standard,RHUD50,50.1-80% AMI,0 or 1
"Lee County, Virginia",85.0,91.0,36.0,05000US51105,51,105,D,Standard,RHUD50,50.1-80% AMI,2
"Lee County, Virginia",10.0,25.0,37.0,05000US51105,51,105,D,Standard,RHUD50,50.1-80% AMI,3 or more
"Lee County, Virginia",45.0,53.0,38.0,05000US51105,51,105,S,Standard,RHUD50,80.1-95% AMI,All
"Lee County, Virginia",0.0,161.0,39.0,05000US51105,51,105,D,Standard,RHUD50,80.1-95% AMI,0 or 1
"Lee County, Virginia",25.0,44.0,40.0,05000US51105,51,105,D,Standard,RHUD50,80.1-95% AMI,2
"Lee County, Virginia",15.0,32.0,41.0,05000US51105,51,105,D,Standard,RHUD50,80.1-95% AMI,3 or more
"Lee County, Virginia",405.0,273.0,42.0,05000US51105,51,105,S,Standard,RHUD50,95.1% AMI and above,All
"Lee County, Virginia",0.0,161.0,43.0,05000US51105,51,105,D,Standard,RHUD50,95.1% AMI and above,0 or 1
"Lee County, Virginia",45.0,67.0,44.0,05000US51105,51,105,D,Standard,RHUD50,95.1% AMI and above,2
"Lee County, Virginia",360.0,265.0,45.0,05000US51105,51,105,D,Standard,RHUD50,95.1% AMI and above,3 or more
"Lee County, Virginia",190.0,94.0,46.0,05000US51105,51,105,S,Standard,RHUD80,All,All
"Lee County, Virginia",40.0,41.0,47.0,05000US51105,51,105,S,Standard,RHUD80,30% AMI or less,All
"Lee County, Virginia",15.0,24.0,48.0,05000US51105,51,105,D,Standard,RHUD80,30% AMI or less,0 or 1
"Lee County, Virginia",25.0,35.0,49.0,05000US51105,51,105,D,Standard,RHUD80,30% AMI or less,2
"Lee County, Virginia",0.0,161.0,50.0,05000US51105,51,105,D,Standard,RHUD80,30% AMI or less,3 or more
"Lee County, Virginia",15.0,30.0,51.0,05000US51105,51,105,S,Standard,RHUD80,30.1-50% AMI,All
"Lee County, Virginia",0.0,161.0,52.0,05000US51105,51,105,D,Standard,RHUD80,30.1-50% AMI,0 or 1
"Lee County, Virginia",15.0,30.0,53.0,05000US51105,51,105,D,Standard,RHUD80,30.1-50% AMI,2
"Lee County, Virginia",0.0,161.0,54.0,05000US51105,51,105,D,Standard,RHUD80,30.1-50% AMI,3 or more
"Lee County, Virginia",0.0,161.0,55.0,05000US51105,51,105,S,Standard,RHUD80,50.1-80% AMI,All
"Lee County, Virginia",0.0,161.0,56.0,05000US51105,51,105,D,Standard,RHUD80,50.1-80% AMI,0 or 1
"Lee County, Virginia",0.0,161.0,57.0,05000US51105,51,105,D,Standard,RHUD80,50.1-80% AMI,2
"Lee County, Virginia",0.0,161.0,58.0,05000US51105,51,105,D,Standard,RHUD80,50.1-80% AMI,3 or more
"Lee County, Virginia",0.0,161.0,59.0,05000US51105,51,105,S,Standard,RHUD80,80.1-95% AMI,All
"Lee County, Virginia",0.0,161.0,60.0,05000US51105,51,105,D,Standard,RHUD80,80.1-95% AMI,0 or 1
"Lee County, Virginia",0.0,161.0,61.0,05000US51105,51,105,D,Standard,RHUD80,80.1-95% AMI,2
"Lee County, Virginia",0.0,161.0,62.0,05000US51105,51,105,D,Standard,RHUD80,80.1-95% AMI,3 or more
"Lee County, Virginia",135.0,84.0,63.0,05000US51105,51,105,S,Standard,RHUD80,95.1% AMI and above,All
"Lee County, Virginia",0.0,161.0,64.0,05000US51105,51,105,D,Standard,RHUD80,95.1% AMI and above,0 or 1
"Lee County, Virginia",40.0,69.0,65.0,05000US51105,51,105,D,Standard,RHUD80,95.1% AMI and above,2
"Lee County, Virginia",95.0,84.0,66.0,05000US51105,51,105,D,Standard,RHUD80,95.1% AMI and above,3 or more
"Lee County, Virginia",15.0,27.0,67.0,05000US51105,51,105,S,Standard,Greater than RHUD80,All,All
"Lee County, Virginia",0.0,161.0,68.0,05000US51105,51,105,S,Standard,Greater than RHUD80,30% AMI or less,All
"Lee County, Virginia",0.0,161.0,69.0,05000US51105,51,105,D,Standard,Greater than RHUD80,30% AMI or less,0 or 1
"Lee County, Virginia",0.0,161.0,70.0,05000US51105,51,105,D,Standard,Greater than RHUD80,30% AMI or less,2
"Lee County, Virginia",0.0,161.0,71.0,05000US51105,51,105,D,Standard,Greater than RHUD80,30% AMI or less,3 or more
"Lee County, Virginia",15.0,27.0,72.0,05000US51105,51,105,S,Standard,Greater than RHUD80,30.1-50% AMI,All
"Lee County, Virginia",0.0,161.0,73.0,05000US51105,51,105,D,Standard,Greater than RHUD80,30.1-50% AMI,0 or 1
"Lee County, Virginia",15.0,27.0,74.0,05000US51105,51,105,D,Standard,Greater than RHUD80,30.1-50% AMI,2
"Lee County, Virginia",0.0,161.0,75.0,05000US51105,51,105,D,Standard,Greater than RHUD80,30.1-50% AMI,3 or more
"Lee County, Virginia",0.0,161.0,76.0,05000US51105,51,105,S,Standard,Greater than RHUD80,50.1-80% AMI,All
"Lee County, Virginia",0.0,161.0,77.0,05000US51105,51,105,D,Standard,Greater than RHUD80,50.1-80% AMI,0 or 1
"Lee County, Virginia",0.0,161.0,78.0,05000US51105,51,105,D,Standard,Greater than RHUD80,50.1-80% AMI,2
"Lee County, Virginia",0.0,161.0,79.0,05000US51105,51,105,D,Standard,Greater than RHUD80,50.1-80% AMI,3 or more
"Lee County, Virginia",0.0,161.0,80.0,05000US51105,51,105,S,Standard,Greater than RHUD80,80.1-95% AMI,All
"Lee County, Virginia",0.0,161.0,81.0,05000US51105,51,105,D,Standard,Greater than RHUD80,80.1-95% AMI,0 or 1
"Lee County, Virginia",0.0,161.0,82.0,05000US51105,51,105,D,Standard,Greater than RHUD80,80.1-95% AMI,2
"Lee County, Virginia",0.0,161.0,83.0,05000US51105,51,105,D,Standard,Greater than RHUD80,80.1-95% AMI,3 or more
"Lee County, Virginia",0.0,161.0,84.0,05000US51105,51,105,S,Standard,Greater than RHUD80,95.1% AMI and above,All
"Lee County, Virginia",0.0,161.0,85.0,05000US51105,51,105,D,Standard,Greater than RHUD80,95.1% AMI and above,0 or 1
"Lee County, Virginia",0.0,161.0,86.0,05000US51105,51,105,D,Standard,Greater than RHUD80,95.1% AMI and above,2
"Lee County, Virginia",0.0,161.0,87.0,05000US51105,51,105,D,Standard,Greater than RHUD80,95.1% AMI and above,3 or more
