name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Portsmouth city, Virginia",14700.0,906.0,1.0,05000US51740,51,740,T,All,All,All,All
"Portsmouth city, Virginia",70.0,67.0,2.0,05000US51740,51,740,S,Substandard,All,All,All
"Portsmouth city, Virginia",14630.0,908.0,3.0,05000US51740,51,740,S,Standard,All,All,All
"Portsmouth city, Virginia",1985.0,384.0,4.0,05000US51740,51,740,S,Standard,RHUD30,All,All
"Portsmouth city, Virginia",1405.0,344.0,5.0,05000US51740,51,740,S,Standard,RHUD30,30% AMI or less,All
"Portsmouth city, Virginia",580.0,212.0,6.0,05000US51740,51,740,D,Standard,RHUD30,30% AMI or less,0 or 1
"Portsmouth city, Virginia",325.0,159.0,7.0,05000US51740,51,740,D,Standard,RHUD30,30% AMI or less,2
"Portsmouth city, Virginia",495.0,241.0,8.0,05000US51740,51,740,D,Standard,RHUD30,30% AMI or less,3 or more
"Portsmouth city, Virginia",175.0,79.0,9.0,05000US51740,51,740,S,Standard,RHUD30,30.1-50% AMI,All
"Portsmouth city, Virginia",65.0,55.0,10.0,05000US51740,51,740,D,Standard,RHUD30,30.1-50% AMI,0 or 1
"Portsmouth city, Virginia",90.0,55.0,11.0,05000US51740,51,740,D,Standard,RHUD30,30.1-50% AMI,2
"Portsmouth city, Virginia",20.0,37.0,12.0,05000US51740,51,740,D,Standard,RHUD30,30.1-50% AMI,3 or more
"Portsmouth city, Virginia",215.0,157.0,13.0,05000US51740,51,740,S,Standard,RHUD30,50.1-80% AMI,All
"Portsmouth city, Virginia",15.0,24.0,14.0,05000US51740,51,740,D,Standard,RHUD30,50.1-80% AMI,0 or 1
"Portsmouth city, Virginia",45.0,52.0,15.0,05000US51740,51,740,D,Standard,RHUD30,50.1-80% AMI,2
"Portsmouth city, Virginia",155.0,138.0,16.0,05000US51740,51,740,D,Standard,RHUD30,50.1-80% AMI,3 or more
