name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Salem city, Virginia",2940.0,389.0,1.0,05000US51775,51,775,T,All,All,All,All
"Salem city, Virginia",0.0,161.0,2.0,05000US51775,51,775,S,Substandard,All,All,All
"Salem city, Virginia",2940.0,389.0,3.0,05000US51775,51,775,S,Standard,All,All,All
"Salem city, Virginia",370.0,196.0,4.0,05000US51775,51,775,S,Standard,RHUD30,All,All
"Salem city, Virginia",205.0,160.0,5.0,05000US51775,51,775,S,Standard,RHUD30,30% AMI or less,All
"Salem city, Virginia",20.0,36.0,6.0,05000US51775,51,775,D,Standard,RHUD30,30% AMI or less,0 or 1
"Salem city, Virginia",40.0,49.0,7.0,05000US51775,51,775,D,Standard,RHUD30,30% AMI or less,2
"Salem city, Virginia",145.0,146.0,8.0,05000US51775,51,775,D,Standard,RHUD30,30% AMI or less,3 or more
"Salem city, Virginia",65.0,68.0,9.0,05000US51775,51,775,S,Standard,RHUD30,30.1-50% AMI,All
"Salem city, Virginia",0.0,161.0,10.0,05000US51775,51,775,D,Standard,RHUD30,30.1-50% AMI,0 or 1
"Salem city, Virginia",15.0,28.0,11.0,05000US51775,51,775,D,Standard,RHUD30,30.1-50% AMI,2
"Salem city, Virginia",50.0,63.0,12.0,05000US51775,51,775,D,Standard,RHUD30,30.1-50% AMI,3 or more
"Salem city, Virginia",15.0,30.0,13.0,05000US51775,51,775,S,Standard,RHUD30,50.1-80% AMI,All
"Salem city, Virginia",0.0,161.0,14.0,05000US51775,51,775,D,Standard,RHUD30,50.1-80% AMI,0 or 1
"Salem city, Virginia",15.0,30.0,15.0,05000US51775,51,775,D,Standard,RHUD30,50.1-80% AMI,2
"Salem city, Virginia",0.0,161.0,16.0,05000US51775,51,775,D,Standard,RHUD30,50.1-80% AMI,3 or more
"Salem city, Virginia",65.0,60.0,17.0,05000US51775,51,775,S,Standard,RHUD30,80.1-95% AMI,All
"Salem city, Virginia",0.0,161.0,18.0,05000US51775,51,775,D,Standard,RHUD30,80.1-95% AMI,0 or 1
"Salem city, Virginia",15.0,31.0,19.0,05000US51775,51,775,D,Standard,RHUD30,80.1-95% AMI,2
"Salem city, Virginia",45.0,51.0,20.0,05000US51775,51,775,D,Standard,RHUD30,80.1-95% AMI,3 or more
"Salem city, Virginia",20.0,37.0,21.0,05000US51775,51,775,S,Standard,RHUD30,95.1% AMI and above,All
"Salem city, Virginia",0.0,161.0,22.0,05000US51775,51,775,D,Standard,RHUD30,95.1% AMI and above,0 or 1
"Salem city, Virginia",0.0,161.0,23.0,05000US51775,51,775,D,Standard,RHUD30,95.1% AMI and above,2
"Salem city, Virginia",20.0,37.0,24.0,05000US51775,51,775,D,Standard,RHUD30,95.1% AMI and above,3 or more
"Salem city, Virginia",1215.0,274.0,25.0,05000US51775,51,775,S,Standard,RHUD50,All,All
"Salem city, Virginia",100.0,96.0,26.0,05000US51775,51,775,S,Standard,RHUD50,30% AMI or less,All
"Salem city, Virginia",80.0,87.0,27.0,05000US51775,51,775,D,Standard,RHUD50,30% AMI or less,0 or 1
"Salem city, Virginia",20.0,39.0,28.0,05000US51775,51,775,D,Standard,RHUD50,30% AMI or less,2
"Salem city, Virginia",0.0,161.0,29.0,05000US51775,51,775,D,Standard,RHUD50,30% AMI or less,3 or more
"Salem city, Virginia",310.0,202.0,30.0,05000US51775,51,775,S,Standard,RHUD50,30.1-50% AMI,All
"Salem city, Virginia",40.0,50.0,31.0,05000US51775,51,775,D,Standard,RHUD50,30.1-50% AMI,0 or 1
"Salem city, Virginia",270.0,200.0,32.0,05000US51775,51,775,D,Standard,RHUD50,30.1-50% AMI,2
"Salem city, Virginia",0.0,161.0,33.0,05000US51775,51,775,D,Standard,RHUD50,30.1-50% AMI,3 or more
"Salem city, Virginia",615.0,206.0,34.0,05000US51775,51,775,S,Standard,RHUD50,50.1-80% AMI,All
"Salem city, Virginia",135.0,142.0,35.0,05000US51775,51,775,D,Standard,RHUD50,50.1-80% AMI,0 or 1
"Salem city, Virginia",370.0,153.0,36.0,05000US51775,51,775,D,Standard,RHUD50,50.1-80% AMI,2
